Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Harga Emas Antam Jatuh, Turun Rp 95.000 Hari Ini",Harga turun,Detik.com,2025-12-31,https://www.detik.com/kalimantan/bisnis/d-8283688/harga-emas-antam-jatuh-turun-rp-95-000-hari-ini
Saat Mahasiswa Turun ke Desa di Majalengka Perbaiki Persoalan Sampah,Harga turun,Detik.com,2025-12-31,https://www.detik.com/jabar/cirebon-raya/d-8284656/saat-mahasiswa-turun-ke-desa-di-majalengka-perbaiki-persoalan-sampah
DPR Minta Penegakan Hukum Kasus Minyak Goreng Berimbas Harga Turun,Harga turun,Detik.com,2025-12-31,https://20.detik.com/detikflash/20220420-220420096/dpr-minta-penegakan-hukum-kasus-minyak-goreng-berimbas-harga-turun
"Kakorlantas: Korban Meninggal Kecelakaan Lalin Turun 19,8% pada 2025",Harga turun,Detik.com,2025-12-31,https://news.detik.com/berita/d-8285042/kakorlantas-korban-meninggal-kecelakaan-lalin-turun-19-8-pada-2025
Bagi Hasil PT AMMAN ke Pemprov NTB Diperkirakan Turun Rp 54 Miliar,Harga turun,Detik.com,2025-12-31,https://www.detik.com/bali/bisnis/d-8285048/bagi-hasil-pt-amman-ke-pemprov-ntb-diperkirakan-turun-rp-54-miliar
"Kriminalitas di Sidoarjo Turun 32 Persen, Kasus Narkoba Naik",Harga turun,Detik.com,2025-12-31,https://www.detik.com/jatim/jogo-jatim/d-8284567/kriminalitas-di-sidoarjo-turun-32-persen-kasus-narkoba-naik
"Subsidi BBM Dicabut, Ekonomi Bolivia Bergejolak",Harga turun,Detik.com,2025-12-31,https://finance.detik.com/foto-bisnis/d-8275854/subsidi-bbm-dicabut-ekonomi-bolivia-bergejolak
"Harga Sembako Jatim Hari Ini, Cabai Turun Semua",Harga turun,Detik.com,2025-12-31,https://www.detik.com/jatim/bisnis/d-8281752/harga-sembako-jatim-hari-ini-cabai-turun-semua
"Produksi Garam RI Turun, Baru 1 Juta Ton",Harga turun,Detik.com,2025-12-31,https://finance.detik.com/berita-ekonomi-bisnis/d-8284441/produksi-garam-ri-turun-baru-1-juta-ton
"Demo di Jakpus, Buruh Protes Besaran Upah Minimum Kabupaten-Kota Se-Jabar",demonstrasi,Detik.com,2025-12-31,https://news.detik.com/berita/d-8283954/demo-di-jakpus-buruh-protes-besaran-upah-minimum-kabupaten-kota-se-jabar
"Massa Buruh Tolak UMP Bubar, Lalin di Jalan Medan Merdeka Selatan Dibuka",demonstrasi,Detik.com,2025-12-31,https://news.detik.com/berita/d-8284547/massa-buruh-tolak-ump-bubar-lalin-di-jalan-medan-merdeka-selatan-dibuka
"Ada Demo Buruh, Jalan Medan Merdeka Selatan Jakpus Ditutup Sebagian",demonstrasi,Detik.com,2025-12-31,https://news.detik.com/berita/d-8283578/ada-demo-buruh-jalan-medan-merdeka-selatan-jakpus-ditutup-sebagian
,demonstrasi,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20251227-251227046/video-ratusan-sopir-truk-demo-minta-akses-pelabuhan-merak-dibuka
,demonstrasi,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20251122-251122050/video-sungai-venice-berubah-jadi-hijau-imbas-protes-aktivis-iklim
,demonstrasi,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20251121-251121109/video-aksi-bela-palestina-berujung-penangkapan-massal-di-london
,demonstrasi,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20251117-251117036/video-demo-gen-z-protes-kekerasan-dan-korupsi-di-mexico-berujung-ricuh
,demonstrasi,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20251106-251106132/video-momen-mencekam-bentrok-mahasiswa-2-fakultas-di-unm
,demonstrasi,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20251023-251023158/video-demo-ricuh-di-boven-digoel-3-polisi-luka-provokator-ditangkap
,demonstrasi,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20250917-250917145/video-respons-grab-soal-tuntutan-demo-ojol-hari-ini
Panen Raya Ketiga di Lamongan Tembus Harga Tinggi dan Cetak Capaian Baru,panen raya,Detik.com,2025-12-31,https://www.detik.com/jatim/berita/d-8231814/panen-raya-ketiga-di-lamongan-tembus-harga-tinggi-dan-cetak-capaian-baru
Kisah Cinta Tugu Lady Raffles Kebun Raya Bogor,panen raya,Detik.com,2025-12-31,https://travel.detik.com/cerita-perjalanan/d-8283627/kisah-cinta-tugu-lady-raffles-kebun-raya-bogor
"Panen Raya Jagung, Kapolres Inhu Apresiasi Kemandirian Pangan di Ponpes",panen raya,Detik.com,2025-12-31,https://news.detik.com/melindungi-tuah-marwah/d-8269958/panen-raya-jagung-kapolres-inhu-apresiasi-kemandirian-pangan-di-ponpes
"Kejagung Pakai Lahan Sitaan Kasus Korupsi ASABRI, Bisa Panen 2.640 Ton Gabah",panen raya,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20250819-250819061/kejagung-pakai-lahan-sitaan-kasus-korupsi-asabri-bisa-panen-2-640-ton-gabah
1.700 Hektare Sawah di Kembangbahu Lamongan Siap Panen Raya,panen raya,Detik.com,2025-12-31,https://www.detik.com/jatim/berita/d-8180467/1-700-hektare-sawah-di-kembangbahu-lamongan-siap-panen-raya
Polres Probolinggo Kota dan Poktan Kanigaran Gelar Panen Raya Jagung,panen raya,Detik.com,2025-12-31,https://www.detik.com/jatim/jogo-jatim/d-8134319/polres-probolinggo-kota-dan-poktan-kanigaran-gelar-panen-raya-jagung
"Bupati BBS Panen Raya Cabai di Muaro Jambi, Ekonomi Petani Terus Didongkrak",panen raya,Detik.com,2025-12-31,https://www.detik.com/sumbagsel/berita/d-8220354/bupati-bbs-panen-raya-cabai-di-muaro-jambi-ekonomi-petani-terus-didongkrak
"Melihat Pameran Panen Raya, Merajut Cerita Alam Lewat Bahasa Seni",panen raya,Detik.com,2025-12-31,https://www.detik.com/pop/foto/d-8144804/melihat-pameran-panen-raya-merajut-cerita-alam-lewat-bahasa-seni
Takalar Pamer Hasil Panen Raya Rumput Laut Punaga di Hadapan Presiden,panen raya,Detik.com,2025-12-31,https://www.detik.com/sulsel/berita/d-8185482/takalar-pamer-hasil-panen-raya-rumput-laut-punaga-di-hadapan-presiden
"Panen Raya 2,8 Juta Ton di Oku Timur, Rajiv: Bukti Kerja Kolaboratif",panen raya,Detik.com,2025-12-31,https://news.detik.com/berita/d-8133539/panen-raya-2-8-juta-ton-di-oku-timur-rajiv-bukti-kerja-kolaboratif
"Hitung Mundur Idul Adha 2025, Berapa Hari Lagi Menuju Hari Raya Kurban?",hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/sulsel/berita/d-7929747/hitung-mundur-idul-adha-2025-berapa-hari-lagi-menuju-hari-raya-kurban
"60+ Ucapan Idul Adha 2025 Islami dan Balasannya, Selamat Hari Raya Kurban!",hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/jogja/berita/d-7951674/60-ucapan-idul-adha-2025-islami-dan-balasannya-selamat-hari-raya-kurban
50 Ucapan Hari Raya Idul Adha Terbaru 2025 Berbagai Tema,hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/sumut/berita/d-7948230/50-ucapan-hari-raya-idul-adha-terbaru-2025-berbagai-tema
"Kemeriahan Kontes Sapi Potong Menjelang Hari Raya Kurban, Sidoarjo",hari raya kurban,Detik.com,2025-12-31,https://20.detik.com/spot-wisata/20240626-240701013/kemeriahan-kontes-sapi-potong-menjelang-hari-raya-kurban-sidoarjo
"8 Amalan Sunnah Idul Adha, Muslim Sudah Tahu?",hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/hikmah/khazanah/d-7900878/8-amalan-sunnah-idul-adha-muslim-sudah-tahu
Idul Adha 2025 Berapa Hijriah? Ini Penjelasannya,hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/hikmah/khazanah/d-7947142/idul-adha-2025-berapa-hijriah-ini-penjelasannya
45+ Daftar Ucapan Idul Adha 2025 Islami dan Penuh Makna,hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/jabar/jabar-gaskeun/d-7948840/45-daftar-ucapan-idul-adha-2025-islami-dan-penuh-makna
Potret Tradisi Unik Idul Adha di Berbagai Negara,hari raya kurban,Detik.com,2025-12-31,https://news.detik.com/foto-news/d-7951694/potret-tradisi-unik-idul-adha-di-berbagai-negara
Jemaah Aboge di Probolinggo Gelar Salat Idul Adha Pagi Ini,hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/jatim/berita/d-7954110/jemaah-aboge-di-probolinggo-gelar-salat-idul-adha-pagi-ini
Mutilasi Sadis Alvi ke Tiara Jadi 554 Potong Guncang Surabaya-Mojokerto,hari raya kurban,Detik.com,2025-12-31,https://www.detik.com/jatim/hukum-dan-kriminal/d-8284400/mutilasi-sadis-alvi-ke-tiara-jadi-554-potong-guncang-surabaya-mojokerto
