Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Harga Sembako Jatim Hari Ini: Cabai Keriting-Rawit Naik, Bawang Merah Turun",Harga minyak goreng,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8229067/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-naik-bawang-merah-turun
Cuaca Buruk Bayangi Kenaikan Harga Minyak Goreng,Harga minyak goreng,Detik.com,2025-11-26,https://finance.detik.com/industri/d-7685614/cuaca-buruk-bayangi-kenaikan-harga-minyak-goreng
"Harga Sembako Jatim 22 November 2025, Harga Telur Ayam Rp 27.968 Per Kilogram",Harga telur ayam,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8223080/harga-sembako-jatim-22-november-2025-harga-telur-ayam-rp-27-968-per-kilogram
Pemkot Mataram Cari Akar Masalah Harga Daging Ayam Tak Turun Sejak 3 Bulan,Harga telur ayam,Detik.com,2025-11-26,https://www.detik.com/bali/nusra/d-8228735/pemkot-mataram-cari-akar-masalah-harga-daging-ayam-tak-turun-sejak-3-bulan
"Harga Telur Ayam Naik Gila-gilaan, Ada yang Tembus Rp 100 Ribu/Kg",Harga telur ayam,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8146868/harga-telur-ayam-naik-gila-gilaan-ada-yang-tembus-rp-100-ribu-kg
Harga Telur Ayam Terus Meroket!,Harga telur ayam,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20230527-230527061/harga-telur-ayam-terus-meroket
"Harga Telur Ayam di Sumut Naik, Disperindag Sebut Permintaan Pasokan MBG Tinggi",Harga telur ayam,Detik.com,2025-11-26,https://www.detik.com/sumut/bisnis/d-8147735/harga-telur-ayam-di-sumut-naik-disperindag-sebut-permintaan-pasokan-mbg-tinggi
Cuaca Panas dan Program MBG Picu Kenaikan Harga Telur Ayam di Palembang,Harga telur ayam,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/berita/d-8166169/cuaca-panas-dan-program-mbg-picu-kenaikan-harga-telur-ayam-di-palembang
"Harga Telur Ayam Naik, DKPP Sumsel Sebut Pemicunya Event-Program MBG",Harga telur ayam,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/bisnis/d-8147195/harga-telur-ayam-naik-dkpp-sumsel-sebut-pemicunya-event-program-mbg
"Tak Hanya Cabai, Harga Telur Ayam Ikut Melambung",Harga telur ayam,Detik.com,2025-11-26,https://finance.detik.com/foto-bisnis/d-7724849/tak-hanya-cabai-harga-telur-ayam-ikut-melambung
